job_id,title,company,location,remote_type,industry,company_size,experience_level,salary_min,salary_max,required_skills,education_required,description,posted_date,applications,days_to_fill
JOB13473,Data Scientist,PolicyData Corp,"Pittsburgh, PA",onsite,government,startup,senior,138000,164000,Jupyter|Deep Learning|Python|Statistics|NLP|SQL|A/B Testing,bachelor,"Join PolicyData Corp as a senior Data Scientist and help us build product analytics infrastructure using Jupyter, Deep Learning, and Python. We value technical excellence and foster an inclusive environment where everyone can thrive.",2023-01-01,26,61
JOB10866,Data Engineer,LearnEdge Systems,"Omaha, NE",remote,education,medium,mid,85000,103000,Python|PostgreSQL|BigQuery|Spark,bachelor,"LearnEdge Systems is looking for a passionate Data Engineer with expertise in Python, PostgreSQL, and BigQuery. The ideal candidate will have mid-level experience in the education space. Your work will directly shape our approach to customer personalization engines across a global user base.",2023-01-01,75,55
JOB12905,Product Manager,Keystone Public Analytics,"Albuquerque, NM",hybrid,government,startup,entry,63000,77000,User Research|JIRA,bachelor,Join Keystone Public Analytics as a entry Product Manager and help us build enterprise data platforms using User Research and JIRA. We value diversity and inclusion and foster an inclusive environment where everyone can thrive.,2023-01-01,22,34
JOB01986,Research Scientist,Quantum Leap Digital,"Albuquerque, NM",onsite,tech,startup,entry,61000,71000,PyTorch|Statistics,bachelor,Quantum Leap Digital is looking for a passionate Research Scientist with expertise in PyTorch and Statistics. The ideal candidate will have entry-level experience in the tech space. This role will focus on delivering cloud infrastructure that measurably improves our tech outcomes.,2023-01-01,18,37
JOB07952,Backend Engineer,Fabricate AI,"Albuquerque, NM",onsite,manufacturing,large,director,208000,245000,Python|PostgreSQL|Redis|Java|Docker|REST APIs|Go|gRPC|SQL,master,"As a director Backend Engineer at Fabricate AI, you will leverage Python, PostgreSQL, and Redis to deliver impactful solutions in the manufacturing industry. You will own the design and delivery of customer personalization engines end to end. Our team is built on data-driven decision making — you will feel it on day one.",2023-01-01,131,114
JOB05797,DevOps Engineer,PolicyData Corp,"Philadelphia, PA",hybrid,government,small,lead,162000,202000,Jenkins|CI/CD|Grafana|Terraform|AWS|Azure|Ansible|Kubernetes,none,"PolicyData Corp is looking for a passionate DevOps Engineer with expertise in Jenkins, CI/CD, and Grafana. The ideal candidate will have lead-level experience in the government space. This role will focus on delivering scalable data pipelines that measurably improves our government outcomes.",2023-01-01,43,53
JOB08384,Backend Engineer,Acme Financial AI,"San Antonio, TX",onsite,finance,enterprise,mid,159000,184000,REST APIs|Python|Go|gRPC|Redis,master,"We are seeking a mid Backend Engineer to join our finance team at Acme Financial AI. You will work with REST APIs, Python, and Go to drive cloud infrastructure. Our team is built on psychological safety — you will feel it on day one.",2023-01-01,218,53
JOB10906,Research Scientist,Precision Data Systems,"Oakland, CA",hybrid,manufacturing,startup,director,198000,258000,Experimentation|Deep Learning|Python|Statistics|TensorFlow|Machine Learning|Publication Record,master,"Join Precision Data Systems as a director Research Scientist and help us build cloud infrastructure using Experimentation, Deep Learning, and Python. We value diversity and inclusion and foster an inclusive environment where everyone can thrive.",2023-01-01,36,89
JOB07754,Software Engineer,Cerberus Analytics,"Columbus, OH",hybrid,finance,small,mid,103000,132000,TypeScript|C++|Go|Docker|Kubernetes|Redis,bachelor,"Cerberus Analytics is looking for a passionate Software Engineer with expertise in TypeScript, C++, and Go. The ideal candidate will have mid-level experience in the finance space. This role will focus on delivering next-generation ML systems that measurably improves our finance outcomes.",2023-01-01,44,31
JOB07773,Backend Engineer,Trident Finance,"Indianapolis, IN",remote,finance,startup,mid,126000,155000,Kubernetes|Kafka|Java|AWS,bachelor,"Trident Finance is looking for a passionate Backend Engineer with expertise in Kubernetes, Kafka, and Java. The ideal candidate will have mid-level experience in the finance space. Your work will directly shape our approach to next-generation ML systems across a global user base.",2023-01-01,22,28
JOB14353,Software Engineer,Pulse Digital Media,"Boise, ID",onsite,media,enterprise,entry,85000,102000,SQL|Kubernetes|Java|REST APIs,phd,"We are seeking a entry Software Engineer to join our media team at Pulse Digital Media. You will work with SQL, Kubernetes, and Java to drive data-driven insights. We champion psychological safety as a core part of how we operate.",2023-01-02,219,33
JOB04473,Software Engineer,ZeroPoint Systems,"Salt Lake City, UT",remote,tech,startup,senior,172000,223000,Java|Kubernetes|TypeScript|REST APIs|Go|AWS|PostgreSQL,bachelor,"Join ZeroPoint Systems as a senior Software Engineer and help us build intelligent automation workflows using Java, Kubernetes, and TypeScript. We value collaboration and transparency and foster an inclusive environment where everyone can thrive.",2023-01-02,17,86
JOB01677,Product Manager,Catalyst Retail Analytics,"Denver, CO",remote,retail,medium,senior,133000,170000,A/B Testing|Roadmapping|Stakeholder Management|User Research|Figma|Agile|JIRA|Product Strategy,bachelor,"As a senior Product Manager at Catalyst Retail Analytics, you will leverage A/B Testing, Roadmapping, and Stakeholder Management to deliver impactful solutions in the retail industry. You will own the design and delivery of product analytics infrastructure end to end. Our team is built on customer obsession — you will feel it on day one.",2023-01-02,85,86
