job_id,company_id,company_name,posted_date,job_title,role_family,seniority,employment_type,remote_type,city,country,region,industry,company_size,funding_stage,company_type,salary_currency,salary_min_usd,salary_max_usd,salary_mid_usd,bonus_target_pct,equity_offered,experience_min_years,experience_max_years,education_required,visa_sponsorship,ai_focus_area,primary_skill_cluster,cloud_stack,llm_stack,required_skills,skills_count,applications_30d,days_open,is_filled,hiring_urgency,description
JOB000001,COMP0131,Signal Academy,2025-07-22,Data Engineer,data-platform,senior,full_time,remote,"New York, NY",United States,North America,education,startup,series-b,edtech,USD,139000,191000,157000,0.093,1,5,9,master,1,batch-pipelines,data-platform,Azure|Databricks,,Python|Azure|BigQuery|dbt|GCP|Kafka|AWS|Data Modeling|Databricks|Spark|SQL|Airflow,12,53,28,0,medium,"Signal Academy is looking for a senior Data Engineer to improve batch pipelines outcomes for customers in education. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, Azure, BigQuery."
JOB000002,COMP0189,Foundry Advisory 189,2024-11-08,Data Analyst,analytics,senior,full_time,hybrid,"San Francisco, CA",United States,North America,consulting,large,late-stage,advisory,USD,183000,257000,212000,0.079,0,5,8,bachelor,0,operations,analytics,Azure,,SQL|Python|Statistics|Excel|Azure|Pandas|Looker|Tableau,8,57,32,0,medium,"Foundry Advisory 189 is looking for a senior Data Analyst to improve operations outcomes for customers in consulting. You will own high-impact projects spanning experimentation, delivery, and operational excellence with SQL, Python, Statistics."
JOB000003,COMP0241,Apex Learning 241,2025-10-27,MLOps Engineer,ml-operations,entry,full_time,onsite,"Vancouver, BC",Canada,North America,education,large,public,edtech,USD,71000,91000,82000,0.077,0,1,3,bachelor,1,governance,mlops,GCP,,Docker|Azure|Model Monitoring|Feature Store|AWS|Terraform|GCP|Python,8,28,38,0,medium,"Apex Learning 241 is looking for a entry MLOps Engineer to improve governance outcomes for customers in education. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Docker, Azure, Model Monitoring."
JOB000004,COMP0072,Meridian Markets,2024-10-23,Analytics Engineer,analytics,senior,full_time,remote,"Sydney, Australia",Australia,APAC,finance,medium,series-d,asset-manager,USD,154000,210000,182000,0.128,0,6,8,bachelor,0,metrics,analytics,GCP|BigQuery,,SQL|BigQuery|Looker|Data Modeling|dbt|Snowflake|GCP,7,69,41,0,low,"Join Meridian Markets as a senior Analytics Engineer working on metrics problems in finance. You will partner with cross-functional teams to ship production work using SQL, BigQuery, Looker."
JOB000005,COMP0083,Signal Finance,2025-09-08,ML Engineer,ml-engineering,staff,contract,hybrid,"Austin, TX",United States,North America,finance,startup,series-b,fintech,USD,173000,230000,200000,0.151,0,8,11,master,0,serving,ml-engineering,Azure|Databricks,,TensorFlow|Docker|Feature Store|Spark|Airflow|AWS|Databricks|Azure|Python|PyTorch,10,49,45,1,low,"Join Signal Finance as a staff ML Engineer working on serving problems in finance. You will partner with cross-functional teams to ship production work using TensorFlow, Docker, Feature Store."
JOB000006,COMP0179,Signal AI,2024-10-10,Research Scientist,research,senior,full_time,hybrid,"Seattle, WA",United States,North America,software,small,series-b,developer-tools,USD,194000,267000,234000,0.108,0,5,9,master,0,alignment,research,Azure|Databricks,Anthropic API|DSPy|pgvector,Python|Anthropic API|Scientific Writing|Azure|PyTorch|pgvector|Statistics|Transformers|DSPy,9,51,20,0,medium,"Join Signal AI as a senior Research Scientist working on alignment problems in software. You will partner with cross-functional teams to ship production work using Python, Anthropic API, Scientific Writing."
JOB000007,COMP0050,Northstar Systems,2025-05-24,AI Product Manager,product,entry,full_time,hybrid,"Seattle, WA",United States,North America,software,startup,series-a,product,USD,88000,121000,104000,0.124,1,1,2,master,0,analytics,product,AWS|Snowflake,,Product Strategy|User Research|Experiment Design|Prompt Engineering|Roadmapping|Analytics|SQL,7,52,32,1,medium,"We are hiring a AI Product Manager to help scale Northstar Systems's analytics roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Product Strategy, User Research, Experiment Design."
JOB000008,COMP0157,Foundry Civic 157,2026-03-08,ML Engineer,ml-engineering,entry,full_time,hybrid,"Berlin, Germany",Germany,Europe,public-sector,medium,series-c,public-sector,USD,78000,113000,95000,0.111,0,0,3,master,0,recommenders,ml-engineering,GCP,,Python|Airflow|Kubernetes|MLflow|Azure|Spark|CI/CD|PyTorch|GCP|Docker|AWS,11,12,27,0,medium,"We are hiring a ML Engineer to help scale Foundry Civic 157's recommenders roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Python, Airflow, Kubernetes."
JOB000009,COMP0265,Beacon Insights,2025-02-19,BI Analyst,analytics,entry,internship,remote,"San Francisco, CA",United States,North America,retail,medium,series-d,consumer,USD,92000,115000,104000,0.074,0,1,2,none,0,kpis,analytics,AWS,,Power BI|Tableau|Dashboarding|Stakeholder Management|AWS|Looker|SQL,7,39,42,1,low,"We are hiring a BI Analyst to help scale Beacon Insights's kpis roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Power BI, Tableau, Dashboarding."
JOB000010,COMP0239,Summit AI 239,2026-01-13,ML Engineer,ml-engineering,senior,full_time,hybrid,"New York, NY",United States,North America,software,small,series-c,developer-tools,USD,193000,277000,229000,0.096,1,6,9,bachelor,0,feature-stores,ml-engineering,GCP|BigQuery,,PyTorch|Azure|Python|TensorFlow|MLflow|Spark|CI/CD|Kubernetes,8,20,14,1,high,"We are hiring a ML Engineer to help scale Summit AI 239's feature stores roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across PyTorch, Azure, Python."
JOB000011,COMP0248,Meridian Care,2026-03-09,Data Engineer,data-platform,mid,full_time,remote,"London, UK",United Kingdom,Europe,healthcare,small,series-a,healthtech,USD,125000,162000,141000,0.083,1,2,6,bachelor,0,governance,data-platform,AWS|Snowflake,,Python|Airflow|Azure|Databricks|Data Modeling|Snowflake|SQL,7,59,35,1,medium,"Meridian Care is looking for a mid Data Engineer to improve governance outcomes for customers in healthcare. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, Airflow, Azure."
JOB000012,COMP0210,Northstar Insights,2026-01-05,AI Product Manager,product,senior,full_time,remote,"Hyderabad, India",India,APAC,retail,startup,series-a,consumer,USD,60000,82000,68000,0.117,0,5,9,master,0,ai-platform,product,AWS,,Product Strategy|SQL|Prompt Engineering|Roadmapping|Experiment Design|AWS|Analytics,7,71,33,0,medium,"We are hiring a AI Product Manager to help scale Northstar Insights's ai platform roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Product Strategy, SQL, Prompt Engineering."
JOB000013,COMP0257,Apex Retail,2024-07-23,Data Engineer,data-platform,senior,full_time,hybrid,"London, UK",United Kingdom,Europe,retail,large,subsidiary,commerce,USD,146000,182000,163000,0.074,0,5,8,master,0,warehousing,data-platform,GCP,,SQL|Airflow|AWS|Spark|Python|Azure|Snowflake|dbt|Kafka,9,48,41,1,low,"We are hiring a Data Engineer to help scale Apex Retail's warehousing roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across SQL, Airflow, AWS."
JOB000014,COMP0008,Meridian Finance,2025-12-11,MLOps Engineer,ml-operations,staff,full_time,hybrid,"Boston, MA",United States,North America,finance,startup,series-a,asset-manager,USD,213000,282000,252000,0.149,0,8,11,master,0,deployment,mlops,AWS,,Python|Prometheus|Kubernetes|MLflow|CI/CD|Docker|Terraform,7,29,38,0,medium,"We are hiring a MLOps Engineer to help scale Meridian Finance's deployment roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Python, Prometheus, Kubernetes."
JOB000015,COMP0280,Meridian Insights,2024-02-17,Analytics Engineer,analytics,senior,full_time,onsite,"Toronto, ON",Canada,North America,retail,medium,series-d,consumer,USD,118000,160000,132000,0.083,0,6,8,bachelor,0,semantic-layer,analytics,Azure,,dbt|Metrics Layer|Git|Data Modeling|Python|Snowflake|Looker|BigQuery|SQL,9,49,21,1,medium,"We are hiring a Analytics Engineer to help scale Meridian Insights's semantic layer roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across dbt, Metrics Layer, Git."
JOB000016,COMP0240,Prism Solutions,2025-02-08,MLOps Engineer,ml-operations,entry,full_time,hybrid,"Austin, TX",United States,North America,consulting,medium,series-c,services,USD,84000,109000,99000,0.091,0,0,3,master,0,feature-stores,mlops,Azure,,Python|Docker|Feature Store|Azure|Model Monitoring|AWS|GCP|MLflow|Prometheus|Kubernetes,10,46,36,1,medium,"Prism Solutions is looking for a entry MLOps Engineer to improve feature stores outcomes for customers in consulting. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, Docker, Feature Store."
JOB000017,COMP0182,Atlas Systems,2026-01-05,Data Engineer,data-platform,entry,full_time,remote,"Bangalore, India",India,APAC,software,medium,series-d,developer-tools,USD,49000,66000,56000,0.066,0,0,2,bachelor,1,governance,data-platform,GCP,,Data Modeling|Databricks|Airflow|SQL|Python|BigQuery|AWS|Azure|Snowflake|Spark|Kafka,11,27,42,1,low,"Atlas Systems is looking for a entry Data Engineer to improve governance outcomes for customers in software. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Data Modeling, Databricks, Airflow."
JOB000018,COMP0226,Northstar Works,2025-09-01,BI Analyst,analytics,senior,contract,remote,"Boston, MA",United States,North America,software,small,series-b,developer-tools,USD,156000,204000,180000,0.07,1,5,8,bachelor,0,dashboards,analytics,Azure,,SQL|Dashboarding|Power BI|Looker|Excel|Tableau|Stakeholder Management,7,59,28,1,medium,"Join Northstar Works as a senior BI Analyst working on dashboards problems in software. You will partner with cross-functional teams to ship production work using SQL, Dashboarding, Power BI."
JOB000019,COMP0102,Atlas Edu,2025-06-29,BI Analyst,analytics,staff,full_time,hybrid,"Dublin, Ireland",Ireland,Europe,education,small,series-a,edtech,USD,106000,149000,129000,0.1,0,8,11,bachelor,0,dashboards,analytics,Azure,,SQL|Excel|Dashboarding|Tableau|Looker|Power BI|Stakeholder Management,7,50,48,0,low,"Join Atlas Edu as a staff BI Analyst working on dashboards problems in education. You will partner with cross-functional teams to ship production work using SQL, Excel, Dashboarding."
JOB000020,COMP0099,Signal Clinical,2025-02-09,LLM Engineer,genai-apps,mid,full_time,hybrid,"Hyderabad, India",India,APAC,healthcare,small,series-c,biotech,USD,67000,85000,75000,0.093,1,2,5,bachelor,0,agents,llm,GCP|BigQuery,OpenAI API|vLLM|LLM Evaluation,Python|Transformers|Prompt Engineering|vLLM|FastAPI|BigQuery|OpenAI API|RAG|LLM Evaluation,9,28,24,1,medium,"Join Signal Clinical as a mid LLM Engineer working on agents problems in healthcare. You will partner with cross-functional teams to ship production work using Python, Transformers, Prompt Engineering."
JOB000021,COMP0035,Signal Investments,2025-12-18,LLM Engineer,genai-apps,mid,full_time,remote,"Amsterdam, Netherlands",Netherlands,Europe,finance,large,public,fintech,USD,161000,208000,188000,0.132,0,3,6,bachelor,0,fine-tuning,llm,AWS|Snowflake,OpenAI API|vLLM|LLM Evaluation,Python|Prompt Engineering|Vector Databases|Snowflake|LLM Evaluation|Transformers|Guardrails|Fine-Tuning|vLLM|AWS,10,55,20,0,medium,"Signal Investments is looking for a mid LLM Engineer to improve fine tuning outcomes for customers in finance. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, Prompt Engineering, Vector Databases."
JOB000022,COMP0085,Nimbus Labs,2025-10-15,LLM Engineer,genai-apps,mid,full_time,hybrid,"New York, NY",United States,North America,software,enterprise,public,platform,USD,215000,286000,251000,0.1,0,2,6,bachelor,0,evaluation,llm,GCP,Anthropic API|DSPy|pgvector,Python|Prompt Engineering|Anthropic API|Synthetic Data|Fine-Tuning|Transformers|DSPy|GCP,8,56,23,1,medium,"We are hiring a LLM Engineer to help scale Nimbus Labs's evaluation roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Python, Prompt Engineering, Anthropic API."
