"id","question","answer","category","difficulty","topic_tags","answer_length"
"03ab89d94d","Explain diffusion models and how they generate images.","Diffusion models define a forward process that gradually adds Gaussian noise to data over T steps: q(x_t|x_{t-1}) = N(x_t; sqrt(1-beta_t)x_{t-1}, beta_t I). The reverse process p_theta(x_{t-1}|x_t) is learned to denoise. Training minimizes a simplified objective: E[||epsilon - epsilon_theta(x_t, t)||^2]. At inference, start from pure noise and iteratively denoise. Score-based formulation connects to score matching and SDEs. DDPM, DDIM, and latent diffusion (Stable Diffusion) are key architectures.","Deep Learning","hard","generative models|diffusion|image generation","66"
"520c63abb2","What is the difference between INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL JOIN?","INNER JOIN returns rows with matching keys in both tables. LEFT JOIN returns all rows from the left table and matched rows from the right (NULL for non-matches). RIGHT JOIN is the reverse. FULL OUTER JOIN returns all rows from both tables (NULLs where no match). Choice depends on whether you need all records from one/both tables or only matches. Performance: INNER JOINs are typically fastest; consider indexing join columns.","SQL","easy","joins|SQL basics","70"
"d8282bb3be","What is the difference between mean, median, and mode?","Mean is the arithmetic average (sum / count), sensitive to outliers. Median is the middle value when data is sorted, robust to outliers. Mode is the most frequent value. For symmetric distributions all three coincide. For right-skewed data: mode < median < mean. Choice depends on the data distribution and the question being asked.","Statistics","easy","descriptive statistics|central tendency","54"
"632d9b0409","What is batch normalization?","Batch normalization normalizes the input of each layer to have zero mean and unit variance across the mini-batch, then applies a learned affine transformation. Benefits: (1) enables higher learning rates, (2) reduces internal covariate shift, (3) has slight regularization effect, (4) makes training less sensitive to initialization. Applied before or after the activation function. Layer normalization is preferred for sequence models.","Deep Learning","easy","normalization|neural networks|training","61"
"b57ffb7365","Explain precision, recall, and F1-score.","Precision = TP/(TP+FP): of all positive predictions, how many are correct. Recall = TP/(TP+FN): of all actual positives, how many did we find. F1 = 2*P*R/(P+R): harmonic mean of precision and recall. Use precision when false positives are costly (spam detection); use recall when false negatives are costly (disease screening). F1 balances both. The PR curve and AUC-PR are especially useful for imbalanced datasets.","ML Theory","easy","classification metrics|evaluation","64"
"3e79491bf5","How do you design experiments when you cannot randomize at the user level?","When user-level randomization is impossible (network effects, marketplace dynamics): (1) Cluster randomization -- randomize at geo, market, or community level. Analysis: mixed-effects models, cluster-robust SEs. (2) Switchback experiments -- alternate treatment/control over time periods within units. (3) Diff-in-diff -- compare treatment and control groups before/after. (4) Synthetic control -- create a weighted combination of untreated units as counterfactual. (5) Regression discontinuity -- exploit threshold-based treatment assignment. Each has specific assumptions and power implications.","A/B Testing","hard","causal inference|quasi-experiments|marketplace experimentation","73"
"e062333a24","How does RLHF (Reinforcement Learning from Human Feedback) work?","RLHF aligns LLMs with human preferences in three stages: (1) Supervised Fine-Tuning (SFT) on demonstration data. (2) Train a reward model on human comparisons of model outputs (pairwise preferences). (3) Optimize the policy using PPO (Proximal Policy Optimization) against the reward model, with a KL penalty to stay close to the SFT model. Challenges: reward hacking, distribution shift, scalable oversight. Alternatives: DPO (Direct Preference Optimization) skips the reward model entirely.","NLP","hard","alignment|reinforcement learning|language models","70"
"92f7073b90","Explain maximum likelihood estimation (MLE).","MLE finds the parameter values that maximize the likelihood function L(theta|data) = P(data|theta). In practice we maximize the log-likelihood for numerical stability. MLE estimators are consistent, asymptotically normal, and asymptotically efficient (achieve the Cramer-Rao lower bound). Limitations include sensitivity to model mis-specification and potential overfitting with small samples.","Statistics","medium","estimation|optimization","48"
"cea0f4210b","Explain the difference between WHERE and HAVING.","WHERE filters rows before aggregation (applied to individual rows). HAVING filters groups after aggregation (applied to aggregated results). Example: 'SELECT dept, AVG(salary) FROM emp WHERE status = active GROUP BY dept HAVING AVG(salary) > 50000' -- WHERE filters individual employees, HAVING filters departments. You cannot use aggregate functions in WHERE (use HAVING instead).","SQL","easy","aggregation|filtering","53"
"e940376e2c","What is data augmentation and why is it important for computer vision?","Data augmentation applies random transformations to training images (rotation, flipping, cropping, color jittering, scaling) to increase effective training set size and improve generalization. It reduces overfitting and makes models invariant to transformations. Advanced: CutOut, CutMix, MixUp, AutoAugment, RandAugment. For certain tasks like medical imaging, augmentation is critical due to limited labeled data. Test-time augmentation (TTA) averages predictions across augmented copies at inference.","Computer Vision","easy","data augmentation|training|regularization","62"
"d7941c1891","What is the Fisher Information Matrix and why is it important?","The Fisher Information Matrix I(theta) measures the amount of information that observable data carries about an unknown parameter. I(theta)_ij = -E[d^2 log L / d theta_i d theta_j]. It determines the Cramer-Rao lower bound on the variance of unbiased estimators, governs the asymptotic distribution of MLEs, and is used in natural gradient descent, information geometry, and optimal experimental design.","Statistics","hard","information theory|estimation|optimization","59"
"59c8415790","Explain how to detect and handle data leakage in feature engineering.","Data leakage occurs when training data contains information that would not be available at prediction time. Types: (1) Target leakage: features derived from the target (e.g., 'was_approved' in a loan approval model). (2) Train-test contamination: information from test set leaking into training (e.g., fitting scaler on full data). (3) Temporal leakage: using future information (e.g., aggregating without time cutoff). Detection: suspiciously high performance, features highly correlated with target, feature importance analysis. Prevention: strict time-based splits, pipeline with fit/transform separation, domain knowledge review, adversarial validation.","Feature Engineering","hard","data leakage|validation|feature engineering","84"
"ace92b6ebe","What is the difference between confidence intervals and credible intervals?","A 95% confidence interval means that if we repeated the experiment many times, 95% of the computed intervals would contain the true parameter. A 95% credible interval (Bayesian) means there is a 95% posterior probability the parameter lies within the interval. CIs are properties of the procedure; credible intervals are probability statements about the parameter given observed data and priors.","Statistics","medium","inference|bayesian statistics","60"
"e745c89386","Design a SQL solution for computing retention cohorts.","WITH first_activity AS (SELECT user_id, DATE_TRUNC('month', MIN(event_date)) as cohort_month FROM events GROUP BY user_id), monthly_activity AS (SELECT DISTINCT user_id, DATE_TRUNC('month', event_date) as activity_month FROM events) SELECT f.cohort_month, EXTRACT(MONTH FROM AGE(m.activity_month, f.cohort_month)) as months_since_join, COUNT(DISTINCT m.user_id) as active_users, COUNT(DISTINCT m.user_id)::float / COUNT(DISTINCT f.user_id) as retention_rate FROM first_activity f LEFT JOIN monthly_activity m ON f.user_id = m.user_id AND m.activity_month >= f.cohort_month GROUP BY 1, 2 ORDER BY 1, 2. This produces a cohort retention matrix.","SQL","hard","retention|cohort analysis|product analytics","73"
"6ddff3b21c","What is a neural network?","A neural network is a computational model inspired by biological neurons. It consists of layers of interconnected nodes (neurons) that apply linear transformations followed by non-linear activation functions. The universal approximation theorem guarantees that a sufficiently wide single-hidden-layer network can approximate any continuous function. Modern deep networks stack many layers to learn hierarchical representations.","Deep Learning","easy","neural networks|fundamentals","54"
"a2314754d7","What is the kernel trick in SVMs?","The kernel trick allows SVMs to learn non-linear decision boundaries by implicitly mapping data to a high-dimensional feature space without explicitly computing the transformation. The kernel function K(x_i, x_j) = phi(x_i) . phi(x_j) computes inner products in the transformed space. Common kernels: linear, polynomial, RBF (Gaussian), sigmoid. This makes SVMs computationally tractable for non-linear problems.","ML Theory","medium","SVM|kernel methods|classification","55"
"f8ceba060c","How would you build a system to serve LLM inference at scale?","Architecture: (1) Model optimization: quantization (GPTQ, AWQ), KV-cache optimization, speculative decoding, continuous batching. (2) Serving: vLLM, TGI, or TensorRT-LLM for efficient GPU utilization. (3) Infrastructure: GPU clusters with NVLink, load balancing across replicas. (4) API layer: rate limiting, authentication, streaming responses (SSE). (5) Caching: semantic cache for similar queries. (6) Monitoring: tokens/second, time-to-first-token, GPU utilization. Cost optimization: spot instances, model routing (small model for simple queries, large model for complex ones). Scaling: autoscaling based on queue depth.","System Design","hard","LLM|inference|serving|infrastructure","77"
"8f08d1d382","What is the difference between population and sample?","A population includes all members of a defined group. A sample is a subset of the population selected for analysis. We use samples because collecting data from an entire population is often impractical. Key considerations include sampling bias, representativeness, and the trade-off between sample size and cost.","Statistics","easy","descriptive statistics|sampling","47"
"afa2f7f3f2","What is the difference between a list and a tuple in Python?","Lists are mutable (can be modified after creation), defined with []. Tuples are immutable (cannot be changed), defined with (). Tuples are hashable (can be dictionary keys), slightly faster, and use less memory. Use tuples for fixed collections (coordinates, database records); use lists when you need to add/remove elements. Named tuples add field names for readability. Both support indexing, slicing, and iteration.","Python","easy","data structures|Python basics","62"
"ab1f2326d9","Explain feature interactions and polynomial features.","Feature interactions capture combined effects: x1*x2 (multiplication), x1/x2 (ratio), x1-x2 (difference). Polynomial features: x, x^2, x^3 for non-linear relationships (PolynomialFeatures in sklearn). Risks: exponential growth in feature space (n features, degree d: O(n^d)), overfitting, multicollinearity. Mitigation: regularization, feature selection (L1), tree-based models (automatically learn interactions). Domain knowledge should guide which interactions to create. Modern approach: deep learning learns interactions implicitly.","Feature Engineering","medium","feature interactions|polynomial features|non-linearity","60"
"d3c0434d57","What is beam search and how does it differ from greedy decoding?","Greedy decoding selects the highest-probability token at each step. Beam search maintains k (beam width) candidate sequences, expanding each and keeping the top-k overall. Beam search explores more of the search space and often finds higher-probability sequences. Drawbacks: higher compute, tends to produce generic/repetitive text. Alternatives: top-k sampling, nucleus (top-p) sampling, temperature scaling -- these introduce randomness for more diverse generation.","NLP","medium","text generation|decoding|search","61"
"a0d5b15c9b","Explain Gaussian Processes for regression. What are the computational bottlenecks?","A GP defines a distribution over functions: f(x) ~ GP(m(x), k(x,x')). Given training data, the posterior predictive distribution is also Gaussian with closed-form mean and variance. Key: the kernel k encodes assumptions about smoothness, periodicity, etc. Bottleneck: computing the posterior requires inverting the n x n kernel matrix -- O(n^3) time, O(n^2) memory. Approximations: sparse GPs (inducing points), random features, scalable variational inference.","ML Theory","hard","gaussian processes|bayesian methods|regression","63"
"75aaa3a547","Write a SQL query for sessionization (grouping events into sessions with 30-minute timeout).","WITH time_diff AS (SELECT *, EXTRACT(EPOCH FROM (event_time - LAG(event_time) OVER (PARTITION BY user_id ORDER BY event_time))) / 60 as mins_since_last FROM events), session_starts AS (SELECT *, CASE WHEN mins_since_last IS NULL OR mins_since_last > 30 THEN 1 ELSE 0 END as is_new_session FROM time_diff), session_ids AS (SELECT *, SUM(is_new_session) OVER (PARTITION BY user_id ORDER BY event_time) as session_id FROM session_starts) SELECT user_id, session_id, MIN(event_time) as session_start, MAX(event_time) as session_end, COUNT(*) as event_count FROM session_ids GROUP BY user_id, session_id.","SQL","hard","sessionization|window functions|analytics","79"
"9984a88d00","Explain GANs (Generative Adversarial Networks) and their training challenges.","GANs consist of a generator G that produces fake samples and a discriminator D that distinguishes real from fake. They play a minimax game: min_G max_D E[log D(x)] + E[log(1-D(G(z)))]. Training challenges: (1) mode collapse -- G produces limited variety, (2) training instability -- oscillation/divergence, (3) vanishing gradients for G when D is too strong. Solutions: Wasserstein GAN (WGAN), spectral normalization, progressive growing, style-based architectures (StyleGAN).","Deep Learning","medium","generative models|adversarial training","66"
"e50fe8d06e","What is dropout and why does it work?","Dropout randomly sets a fraction of neurons to zero during training. This prevents co-adaptation of neurons and acts as an implicit ensemble of sub-networks. At inference, all neurons are used with weights scaled by the keep probability. It reduces overfitting, especially in large networks. Typically p=0.5 for hidden layers and p=0.2 for input layers. Variants: spatial dropout (CNNs), DropConnect, DropBlock.","Deep Learning","easy","regularization|neural networks","60"
"bbbcf91691","Explain the bootstrap method and when you would use it.","Bootstrap is a resampling technique where you draw B samples (with replacement) of size n from your data and compute the statistic of interest for each. The distribution of these B statistics approximates the sampling distribution. Use cases: estimating standard errors, constructing confidence intervals, and hypothesis testing when analytical formulas are unavailable or assumptions are violated.","Statistics","medium","resampling|inference","56"
"2e21d75dd0","Derive the variance of the MLE for a Bernoulli parameter.","For n i.i.d. Bernoulli(p) observations, the MLE is p_hat = X_bar. Var(p_hat) = p(1-p)/n. The Fisher information is I(p) = n / [p(1-p)], so the Cramer-Rao lower bound is 1/I(p) = p(1-p)/n. Since Var(p_hat) equals the CRLB, the MLE is efficient. Asymptotically, sqrt(n)(p_hat - p) -> N(0, p(1-p)).","Statistics","hard","estimation|probability|mathematical statistics","48"
"8af50b55b2","Explain the theoretical foundations of in-context learning in LLMs.","In-context learning (ICL) allows LLMs to perform tasks from examples in the prompt without parameter updates. Theoretical perspectives: (1) Transformers implicitly implement gradient descent on in-context examples (Akyurek et al., von Oswald et al.). (2) ICL as Bayesian inference: the model implicitly marginalizes over possible concepts. (3) Induction heads (Olsson et al.) -- attention patterns that copy and complete patterns. ICL quality depends on model scale, example quality, and format. Understanding is still an active research area.","NLP","hard","language models|few-shot learning|transformers","77"
"0cfe1f9728","What is target encoding and how do you avoid overfitting with it?","Target encoding replaces each category with the mean (or other statistic) of the target variable for that category. Risk: leaking target information causes overfitting. Prevention: (1) K-fold target encoding: compute encodings using out-of-fold target values. (2) Smoothing: blend category mean with global mean weighted by category size: encoding = (count * cat_mean + m * global_mean) / (count + m). (3) Add Gaussian noise. (4) Leave-one-out encoding. CatBoost uses ordered target encoding to prevent leakage.","Feature Engineering","medium","target encoding|categorical features|leakage","75"
"c3a98c0da7","What is regularization? Compare L1 and L2.","Regularization adds a penalty term to the loss function to constrain model complexity. L1 (Lasso): penalty = lambda * sum|w_i|; produces sparse solutions (feature selection). L2 (Ridge): penalty = lambda * sum(w_i^2); shrinks weights toward zero but rarely sets them exactly to zero. Elastic Net combines both. The regularization strength lambda controls the bias-variance tradeoff.","ML Theory","easy","regularization|feature selection","55"
"11d6ad85ca","What is the difference between extractive and abstractive summarization?","Extractive summarization selects and concatenates the most important sentences/phrases from the source text. Methods: TextRank, sentence scoring, BERT-based selection. Abstractive summarization generates new text that captures the key information, potentially using words not in the source. Methods: seq2seq models, Transformers (BART, T5, Pegasus). Extractive is more faithful but less fluent; abstractive is more fluent but may hallucinate. Modern systems often combine both.","NLP","medium","summarization|text generation","62"
"1e59465555","Explain the difference between supervised and unsupervised learning.","Supervised learning uses labeled data (input-output pairs) to learn a mapping function. Examples: classification, regression. Unsupervised learning finds patterns in unlabeled data. Examples: clustering, dimensionality reduction, anomaly detection. Semi-supervised learning uses a small amount of labeled data with a large amount of unlabeled data. Self-supervised learning creates labels from the data itself.","ML Theory","easy","learning paradigms|fundamentals","52"
"5aab34ec14","Derive the closed-form solution for linear regression and explain its computational complexity.","Minimize L(w) = ||Xw - y||^2. Taking the gradient and setting to zero: dL/dw = 2X^T(Xw-y) = 0, so w* = (X^T X)^{-1} X^T y (the normal equation). Computational complexity: O(n*p^2) for X^T X, O(p^3) for the inverse -- prohibitive when p is large. Alternatives: QR decomposition (numerically stable), SVD, gradient descent (scalable), or regularized forms (Ridge: w* = (X^T X + lambda I)^{-1} X^T y).","ML Theory","hard","linear models|optimization|computational complexity","66"
"ec9c01d724","What is the lottery ticket hypothesis?","The lottery ticket hypothesis (Frankle and Carlin, 2019) states that dense randomly-initialized networks contain sparse subnetworks ('winning tickets') that, when trained in isolation from the same initialization, reach comparable accuracy in a similar number of iterations. Finding these tickets involves iterative magnitude pruning. Implications: explains why overparameterization helps, motivates structured pruning and sparse training. Extensions: late resetting, universal tickets, linear mode connectivity.","Deep Learning","hard","pruning|network architecture|optimization","62"
"f720cfc4e6","Explain the CLIP model architecture and its zero-shot capabilities.","CLIP (Contrastive Language-Image Pre-training, Radford et al., 2021) jointly trains an image encoder (ViT or ResNet) and a text encoder (Transformer) to maximize cosine similarity of matching image-text pairs and minimize it for non-matching pairs (contrastive loss on 400M image-text pairs). Zero-shot classification: encode candidate labels as text ('a photo of a [class]'), compute similarity with the image embedding, and select the highest. CLIP transfers to diverse tasks without fine-tuning and enables text-guided image retrieval, generation (DALL-E), and segmentation.","Computer Vision","hard","multimodal|contrastive learning|zero-shot","79"
"d160e6a6ef","Explain the ROC curve and AUC. When is AUC-PR preferred?","ROC plots True Positive Rate (recall) vs. False Positive Rate (1-specificity) at different classification thresholds. AUC-ROC summarizes overall discriminative ability (0.5 = random, 1.0 = perfect). AUC-PR (Precision-Recall) is preferred when classes are highly imbalanced because ROC can be overly optimistic -- a model that catches most positives but flags many negatives still shows good ROC but poor precision.","ML Theory","medium","classification metrics|evaluation|imbalanced data","59"
"4be508f777","What is named entity recognition (NER)?","NER identifies and classifies named entities (persons, organizations, locations, dates, etc.) in text. Approaches: rule-based, CRF (Conditional Random Fields), BiLSTM-CRF, Transformer-based (BERT fine-tuned as token classifier). Common tag schemes: BIO (Begin, Inside, Outside), BIOES. Challenges: ambiguity (Apple the company vs. apple the fruit), nested entities, domain-specific entities. Evaluated with entity-level precision, recall, F1.","NLP","easy","sequence labeling|information extraction","53"
"4d3525cb5d","What is a convolutional neural network (CNN)?","A CNN uses convolutional layers that apply learnable filters across spatial dimensions to detect local patterns (edges, textures, objects). Key components: convolutional layers (local connectivity, weight sharing), pooling layers (spatial downsampling), fully connected layers (classification). Hierarchical feature learning: early layers detect edges, middle layers detect textures/parts, deep layers detect objects. Architectures: LeNet, AlexNet, VGG, ResNet, EfficientNet.","Computer Vision","easy","CNN|architecture|image classification","56"
"614a963127","What is Bayesian inference? How does it differ from frequentist inference?","Bayesian inference treats parameters as random variables with prior distributions, updating beliefs via Bayes' theorem: P(theta|data) proportional to P(data|theta) * P(theta). Frequentist inference treats parameters as fixed unknowns and focuses on the sampling distribution of estimators. Key differences: Bayesians incorporate prior knowledge; frequentists rely solely on data. Bayesians produce posterior distributions; frequentists produce point estimates and confidence intervals.","Statistics","medium","bayesian statistics|inference","58"
"67555e3843","What is the difference between bagging and boosting?","Bagging (Bootstrap Aggregating) trains models independently on bootstrap samples and aggregates predictions -- reduces variance (e.g., Random Forest). Boosting trains models sequentially, each correcting the previous model's errors -- reduces bias (e.g., AdaBoost, Gradient Boosting). Bagging is easily parallelizable; boosting is sequential. Boosting can overfit if not regularized but typically achieves lower error.","ML Theory","medium","ensemble methods|model selection","53"
"595d10040b","How do you determine the sample size for an A/B test?","Sample size depends on: (1) Significance level (alpha, typically 0.05). (2) Power (1-beta, typically 0.80). (3) Minimum detectable effect (MDE) -- smallest meaningful difference. (4) Baseline metric variance. Formula for proportions: n = (Z_{alpha/2} + Z_beta)^2 * (p1*(1-p1) + p2*(1-p2)) / (p1-p2)^2. Practical considerations: use online calculators, account for multiple comparisons, consider one-tailed vs. two-tailed tests. Larger effects need smaller samples; smaller alpha/higher power need larger samples.","A/B Testing","easy","power analysis|sample size|statistics","67"
"039ee18c51","Explain the scaling laws for language models.","Scaling laws (Kaplan et al., Chinchilla) show that LLM loss decreases as a power law with model size (N), dataset size (D), and compute (C): L(N,D) ~ a/N^alpha + b/D^beta + L_irreducible. Key findings: (1) performance improves predictably with scale, (2) compute-optimal training (Chinchilla) requires scaling data and parameters equally -- roughly 20 tokens per parameter, (3) emergent abilities appear at certain scales, (4) these laws guide resource allocation for training large models.","NLP","hard","language models|scaling|training","73"
"c628476ed0","Explain how Random Forests work and their advantages over single decision trees.","Random Forest is an ensemble of decision trees trained on bootstrap samples (bagging) with random feature subsets at each split. Predictions are averaged (regression) or majority-voted (classification). Advantages: reduced variance, robust to overfitting, handles high-dimensional data, provides feature importance. The randomness decorrelates trees, making the ensemble more powerful than individual trees. OOB error provides a built-in validation estimate.","ML Theory","medium","ensemble methods|tree models","58"
"2cf3f6c7e0","Explain the Transformer architecture and self-attention mechanism.","Transformers use self-attention to process sequences in parallel (unlike RNNs). Self-attention computes Attention(Q,K,V) = softmax(QK^T/sqrt(d_k))V, where Q, K, V are linear projections of input. Multi-head attention applies multiple attention functions in parallel. The architecture has encoder (bidirectional) and decoder (causal) stacks, each with attention, feed-forward layers, residual connections, and layer normalization. Transformers are the backbone of BERT, GPT, and modern NLP/vision models.","Deep Learning","medium","transformers|attention|NLP","62"
